h3_index,classification
82c747fffffffff,ocean
82e82ffffffffff,ocean
829c2ffffffffff,land
82e12ffffffffff,coast
82524ffffffffff,coast
82134ffffffffff,land
823e57fffffffff,land
828767fffffffff,ocean
821467fffffffff,land
828447fffffffff,ocean
8224dffffffffff,land
826ac7fffffffff,land
82011ffffffffff,ocean
82cf77fffffffff,ocean
82871ffffffffff,ocean
82d2f7fffffffff,ocean
823e37fffffffff,coast
82882ffffffffff,ocean
82c39ffffffffff,ocean
824da7fffffffff,ocean
8256affffffffff,ocean
821b87fffffffff,coast
829a1ffffffffff,ocean
823ae7fffffffff,ocean
828787fffffffff,ocean
826adffffffffff,land
82f257fffffffff,land
82c4affffffffff,ocean
823ce7fffffffff,land
82316ffffffffff,coast
8242f7fffffffff,ocean
82aa1ffffffffff,ocean
82d2effffffffff,ocean
82a54ffffffffff,ocean
8280cffffffffff,ocean
825c47fffffffff,ocean
825597fffffffff,ocean
827277fffffffff,ocean
827b37fffffffff,ocean
82a597fffffffff,coast
827b67fffffffff,ocean
82d48ffffffffff,ocean
82d517fffffffff,ocean
82369ffffffffff,ocean
829b97fffffffff,ocean
82eaeffffffffff,ocean
828aa7fffffffff,land
821b67fffffffff,ocean
820adffffffffff,land
82bf97fffffffff,ocean
82c807fffffffff,ocean
82e0b7fffffffff,coast
821b8ffffffffff,coast
82f017fffffffff,land
821b1ffffffffff,ocean
822cc7fffffffff,coast
8211affffffffff,land
829cb7fffffffff,coast
82af8ffffffffff,ocean
82b94ffffffffff,ocean
82a817fffffffff,coast
827c67fffffffff,ocean
820a37fffffffff,land
82e837fffffffff,ocean
827d67fffffffff,ocean
822ef7fffffffff,coast
8204a7fffffffff,land
829547fffffffff,coast
822eb7fffffffff,coast
82ab0ffffffffff,ocean
826467fffffffff,ocean
82a89ffffffffff,coast
82a347fffffffff,ocean
82b1affffffffff,ocean
82ac1ffffffffff,ocean
827b9ffffffffff,ocean
829caffffffffff,coast
82b75ffffffffff,ocean
82170ffffffffff,coast
